event eta phi energy
6 -0.9 -1.7 29.0261
6 -0.8 -1.9 12.9775
6 2 0.5 75.0064
6 2.2 0.7 111.649
6 2.1 0.7 5.0461
6 2 0.7 14.4238
6 2.3 0.7 69.3568
6 2.3 0.6 35.6645
6 2.4 0.8 26.4968
6 2.3 0.9 49.5669
6 2.2 0.6 26.6166
6 2.4 0.7 68.2277
6 2.2 0.4 64.1905
6 2.3 0.8 35.1334
6 1.9 0.7 58.7799
6 2.5 0.6 20.2608
7 1 -0.4 103.746
7 1 -0.5 99.0277
7 0.9 -0.6 60.9766
7 0.9 -0.5 43.7431
7 0.8 -0.5 19.4222
7 0.8 -0.6 55.8723
7 0.8 -0.4 36.0595
7 0.6 -0.4 65.8561
7 0.7 -0.5 44.2821
7 0.7 -0.4 49.6816
7 0.9 -0.3 59.7028
7 0.9 -0.4 31.507
7 0.7 -0.2 76.4188
7 0.8 -0.2 33.0148
7 0.9 -0.8 45.243
7 1.1 -0.4 40.1112
7 0.7 -0.9 44.5525
7 1 0.6 102.258
7 1.1 0.6 98.2965
7 1.2 0.8 73.0131
7 1.7 0.6 27.9098
7 1 0.8 78.1927
7 1.2 0.7 80.5204
7 1 0.7 41.9789
7 1.1 0.5 0.792683
7 1 0.5 42.9902
7 1.1 0.7 58.9306
7 1.2 0.6 75.5617
7 1.2 0.5 14.6167
7 1.3 0.7 68.1368
7 1.1 0.4 60.7744
7 1.1 0.8 41.2964
7 0.9 0.5 6.34858
7 0.9 0.7 62.8305
7 1.5 0.8 29.8688
8 -2 2.6 77.1956
8 -2 2.5 104.359
8 -1.9 2.9 37.9889
8 -1.7 2.7 76.5538
8 -1.9 2.8 50.4358
8 -1.8 2.6 61.5943
8 -1.8 2.5 51.6578
8 -1.9 2.7 69.5289
8 -1.5 2.5 49.9842
8 -2 2.4 66.2014
8 0.9 1 106.868
8 0.7 1 77.7367
8 0.8 1.2 41.3807
8 0.8 1.1 16.0745
8 0.7 1.2 23.7414
8 0.9 1.2 38.2212
8 0.7 1.1 42.7226
8 0.9 1.3 16.7611
8 0.9 1.1 22.9729
8 0.8 0.8 14.559
8 0.5 1.1 16.1895
8 1 1.1 33.1896
8 0.3 1.1 29.5387
8 0.8 1 53.7765
9 1.2 0.7 92.8686
9 1.2 0.4 88.7251
9 1.4 0.4 35.9326
9 1.5 0.2 44.2432
9 1.3 0.4 37.1888
9 1.4 0.2 58.9442
9 1.8 0.4 28.8377
9 1.5 0.4 20.4991
9 1.4 0.1 29.611
9 1.4 0.3 66.9316
9 1.3 0.7 0.948007
9 1.4 0.5 19.5739
9 1.3 0.2 55.3713
9 1.6 0.2 33.6743
9 2.4 2.3 100.589
9 2.4 2.4 77.4023
9 2.3 2.4 32.004
9 2.3 2.5 21.4939
9 2.5 2.4 12.1833
9 2.5 2.7 17.7011
9 2.6 2.4 7.16733
9 2.2 2.4 17.3682
9 2.6 2.7 8.10004
9 2.2 2.2 49.9675
9 2.4 2.1 27.2813
